"";"AB"
"KOYAMA K, 2013, INT J SPORTS MED";"SEVERAL STUDIES HAVE SHOWN A HIGHER PREVALENCE OF RADIOLOGICAL ABNORMALITIES AMONG GYMNASTS. HOWEVER, THE TYPES OF RADIOLOGICAL ABNORMALITIES ASSOCIATED WITH LOW BACK PAIN (LBP) HAVE NOT BEEN CLARIFIED. THE HYPOTHESIS WAS THAT SIGNIFICANT RELATIONSHIPS BETWEEN RADIOLOGICAL ABNORMALITIES AND LBP MAY BE REVEALED BY DISCRIMINATING BETWEEN THE TYPES OF MRI ABNORMALITIES WHILE CONSIDERING CONFOUNDING FACTORS. THE SUBJECTS WERE 104 JAPANESE COLLEGIATE GYMNASTS (MEN, 70; WOMEN, 34). THE PRESENCE OF LBP WAS EVALUATED USING THE QUESTIONNAIRE DEVELOPED BY OSAKA CITY UNIVERSITY (OCU TEST). MAGNETIC RESONANCE IMAGING (MRI) ABNORMALITIES WERE EVALUATED USING T1- AND T2-WEIGHTED MRI. THE PREVALENCE OF MORE THAN 1 MRI ABNORMALITY IN GYMNASTS WAS 47.1 \% (49/104). THE CHI-SQUARE TEST SHOWED THAT THE INCIDENCE OF LUMBAR DISC DEGENERATION (LDDG) AND LIMBUS VERTEBRA WAS SIGNIFICANTLY GREATER IN GYMNASTS WITH LBP THAN IN GYMNASTS WITHOUT LBP. BY USING LOGISTIC REGRESSION ANALYSIS TO ANALYZE THE CONCOMITANT ENVIRONMENTAL VARIABLES, ONLY LDDG (ODDS RATIO, 2.70; 95 \% CONFIDENCE INTERVAL, 1.10-6.66) WAS SELECTED AS A STATISTICALLY SIGNIFICANT VARIABLE ACCOUNTING FOR LBP. IN CONCLUSION, LDDG IS A PREDICTOR FOR LBP IN JAPANESE COLLEGIATE GYMNASTS."
"KAVUKCU E, 2013, BALK MED J";"OBJECTIVE: TO ASSESS THE PREVALENCE OF MEDICATION AND NUTRITIONAL SUPPLEMENT USE IN MALE FOOTBALL SUPER LEAGUE PLAYERS AND TO OBSERVE THE LONG TERM CHANGES OF PLAYERS' ATTITUDES DURING 5 YEARS PERIOD (4 SEASONS). STUDY DESIGN: RETROSPECTIVE STUDY. MATERIAL AND METHODS: REVIEW AND ANALYSIS OF 4176 DOPING CONTROL FORMS -DECLARATION REPORTS- ABOUT PLAYERS' MEDICATION INTAKE INCLUDING; SUPER LEAGUE, UEFA CUP AND THE UEFA CHAMPIONS LEAGUE MATCHES. TEAM PHYSICIAN WAS ASKED TO DOCUMENT ALL MEDICATIONS AND NUTRITIONAL SUPPLEMENTS TAKEN BY THE FOOTBALL SUPER LEAGUE PLAYERS IN THE LAST 72 HOURS BEFORE EACH MATCH. RESULTS: A TOTAL INTAKE OF 5939 SUBSTANCES WERE DOCUMENTED, OF WHICH ALMOST HALF 49.2\% (N=2921) WERE CLASSIFIED AS MEDICATIONS AND 50.8\% (N=3018) WERE NUTRITIONAL SUPPLEMENTS. THE AVERAGE CONSUMPTION PER PLAYER WAS 1.42 SUBSTANCE/MATCH; 0.70 WERE MEDICATIONS AND 0.72 OF NUTRITIONAL SUPPLEMENTS. THE SUPPLEMENTS USED MOST FREQUENTLY WERE NSAIDS 24.6\% (N=1460) ACCOUNTING FOR ALMOST ONE IN FOUR OF ALL REPORTED SUPPLEMENTS. DICLOFENAC SODIUM WAS THE MOST FREQUENTLY REPORTED ACTIVE PHARMACEUTICAL INGREDIENT. SECOND MOST FREQUENTLY USED SUPPLEMENTS WERE VITAMINS (22.2\%). THE AVERAGE DRUG CONSUMPTION REPORTED PER PLAYER HAS BEEN INCREASING EVERY PASSING YEAR. IT WAS 0.7 SUBSTANCE/MATCH/PLAYER (0.4 MEDICATION; 0.3 NUTRITIONAL SUPPLEMENT) IN 2003-2004 SEASON; WAS INCREASED TO 1.8 SUBSTANCE/MATCH (0.8 MEDICATION; 1.0 NUTRITIONAL SUPPLEMENT) IN 2006-2007 SEASON. CONCLUSION: THE TRENDS SEEN IN THIS SURVEY POINT TO AN OVERUSE OF NSAIDS AND VITAMINS IN COMPARISON WITH OTHER MEDICATIONS, AMOUNG TURKISH SUPER LEAGUE FOOTBALL PLAYERS (P<0.001). THE USE OF NSAIDS HAS INCREASED BUT THE MEDICATION GROUPS DID NOT DIFFER SIGNIFICANTLY BETWEEN SEASONS, IN TERMS OF DISTRIBUTION. THIS INCREASING USE OF MEDICATIONS ESPECIALLY OF NON-STEROIDAL ANTI-INFLAMMATORY DRUGS AND NUTRITIONAL SUPPLEMENTS IS ALARMING AND NEEDS TO BE ARGUED."
"RISALITI G, 2013, ACCOUNT AUDIT ACCOUNT";"PURPOSE - THIS STUDY SEEKS TO EXAMINE THE INFLUENCE OF THE GAMUT OF CHANGES THAT HAVE TAKEN PLACE IN THE PAST 15 YEARS IN THE WORLD OF INTERNATIONAL FOOTBALL THAT HAVE PERMANENTLY TRANSFORMED FOOTBALL FROM A GAME INTO A REAL BUSINESS, WHILE ALSO CONSIDERING SOME SPECIFIC EVENTS THAT HAVE AFFECTED ITALIAN FOOTBALL IN TERMS OF THE VALUATION OF PLAYERS' REGISTRATION RIGHTS IN THE FINANCIAL STATEMENTS OF THE LEADING ITALIAN FOOTBALL CLUBS THROUGHOUT THE PERIOD 1996-2009. DESIGN/METHODOLOGY/APPROACH - THE RESEARCH WAS CONDUCTED TAKING INTO ACCOUNT THE LEADING ITALIAN CLUBS. THE CLUBS CONSIDERED WERE THOSE THAT, IN THE PERIOD EXAMINED, QUALIFIED AT LEAST FIVE TIMES FOR A PLACE IN THE ITALIAN SERIE A CHAMPIONSHIP WHICH IS INSTRUMENTAL TO THEIR DIRECT PARTICIPATION, OR THROUGH THE QUALIFYING ROUND, IN THE CHAMPIONS LEAGUE. FINDINGS - THE RESEARCH SHOWS THAT QUESTIONABLE WINDOW DRESSING POLICIES, CONSISTING OF ARTIFICIALLY OVERESTIMATED VALUES OF PLAYERS' REGISTRATION RIGHTS, AGGRAVATED THE ITALIAN FOOTBALL CRISIS THAT EXPLODED DURING THE 2001/2002 SEASON. HOWEVER, THE ORIGINS OF THIS CRISIS MUST BE ASCRIBED TO THE INABILITY OF ITALIAN TEAMS TO CONTROL PLAYERS' WAGES. RESEARCH LIMITATIONS/IMPLICATIONS - THE STUDY CONCERNS ONLY THE LEADING CLUBS AND EXAMINES THE VALUE OF PLAYERS' REGISTRATION RIGHTS AS AN AGGREGATE, AS IT IS NOT ALWAYS POSSIBLE TO EXTRAPOLATE FROM FINANCIAL STATEMENTS THE VALUES ATTRIBUTED TO INDIVIDUAL PLAYERS. ORIGINALITY/VALUE - THE ITALIAN LEGAL SYSTEM, UNLIKE OTHERS, ESTABLISHES FOR CORPORATIONS, THE OBLIGATION TO RECAPITALIZE IF LOSSES EXCEED A CERTAIN LEVEL. BASED ON THIS PARTICULAR REGULATION, THIS RESEARCH, SUGGESTING A DIFFERENT INTERPRETATION OF EVENTS, IDENTIFIES THE WINDOW DRESSING POLICIES IMPLEMENTED BY ITALIAN FOOTBALL CLUBS DURING THE PERIOD IN QUESTION AS BEHAVIOR DESIGNED TO EVADE THE OBLIGATION TO COVER LOSSES, AND HIGHLIGHTS THE REAL PURPOSE OF THE EXCEPTIONAL MEASURES UNDERTAKEN BY THE ITALIAN LEGISLATOR TO SAVE THE ENTIRE INDUSTRY."
"CULLEN FT, 2012, CRIMINOL PUBLIC POLICY";"ALTHOUGH THE POPULAR AND ACADEMIC MEDIA OFTEN PROCLAIM THAT RULE VIOLATIONS ARE WIDESPREAD IN COLLEGE ATHLETICS, RESEARCH ASSESSING THE TRUE PREVALENCE AND CAUSES OF SUCH INFRACTIONS IS IN SHORT SUPPLY. TO ADDRESS THIS KNOWLEDGE GAP, WE CONDUCTED A NATIONAL SURVEY THAT ASKED A RANDOM SAMPLE OF MALE STUDENT-ATHLETES AT DIVISION I BASKETBALL AND FOOTBALL PROGRAMS ABOUT SUCH INFRACTIONS (N = 648). THE RESULTS REVEALED THAT ALTHOUGH SIX IN TEN STUDENT-ATHLETES DID NOT COMMIT ANY INFRACTIONS IN THE RECRUITMENT PROCESS, SEVEN IN TEN RESPONDENTS REPORTED BREAKING NCAA RULES WHILE IN COLLEGE. MOST VIOLATIONS, HOWEVER, WERE RELATIVELY MINOR AND INVOLVED AMENITIES THAT WOULD ENHANCE THE STUDENT-ATHLETES' QUALITY OF LIFE (FREE MEALS, CASH PAYMENTS LESS THAN \$20). IN CONTRAST, SERIOUS VIOLATIONS-SUCH AS FREE CARS, SUBSTANTIAL FINANCIAL ALLOCATIONS, AND ACADEMIC FRAUD-WERE RARE, ALTHOUGH THEY DID EXIST. THE MULTIVARIATE ANALYSIS REVEALED THAT INFRACTIONS WERE HIGHER AMONG STUDENT-ATHLETES WHO WERE HIGHLY RECRUITED; WHO ASSOCIATED WITH FELLOW ATHLETES THAT TRANSGRESSED NCAA RULES OR SAW NOTHING INAPPROPRIATE ABOUT BREAKING THESE REGULATIONS; WHO PERSONALLY EMBRACED VALUES DEFINING RULE VIOLATIONS AS ACCEPTABLE; WHO DID NOT HAVE CLOSE RELATIONSHIPS WITH THEIR PARENTS; AND, IN PARTICULAR, WHO HAD A GENERAL PROPENSITY TO BE INVOLVED IN DEVIANT BEHAVIOR. IN CONTRAST, INFRACTIONS WERE STATISTICALLY UNRELATED TO A VARIETY OF FACTORS, INCLUDING MOST NOTABLY ECONOMIC DEPRIVATION, ORGANIZATIONAL CONTEXT, AND THREATS OF SANCTIONS. A POTENTIALLY DISQUIETING FINDING IS THAT A QUARTER OF THE RESPONDENTS ADMITTED TO GAMBLING ON SPORTING EVENTS, WITH A SMALL PERCENTAGE REPORTING PLACING BETS ON GAMES IN WHICH THEY PLAYED AND THREE RESPONDENTS STATING THAT THEY HAD ``RECEIVED MONEY FROM A GAMBLER FOR NOT PLAYING WELL.''"
"DIMITROPOULOS PE, 2012, INT J SPORT FINANC";"THE AIM OF THIS PAPER IS TO ANALYZE THE IMPACT OF CORPORATE GOVERNANCE QUALITY (NAMELY BOARD SIZE, BOARD INDEPENDENCE, MANAGERIAL OWNERSHIP, INSTITUTIONAL OWNERSHIP, AND CEO DUALITY) ON THE PROFITABILITY AND VIABILITY OF EUROPEAN UNION'S FOOTBALL CLUBS OVER THE PERIOD 2005-2009. EMPIRICAL RESULTS DOCUMENTED THAT CORPORATE GOVERNANCE QUALITY (HIGHER MANAGERIAL AND INSTITUTIONAL OWNERSHIP, INCREASED BOARD SIZE AND INDEPENDENCE, AND THE SEPARATION OF THE CEO AND CHAIRMAN ROLES) LEADS TO GREATER LEVELS OF PROFITABILITY AND VIABILITY. FURTHER ANALYSIS BASED ON CLUBS' PROFITABILITY AND VIABILITY INDICATES THAT SOUND GOVERNANCE MECHANISMS ARE ALSO IMPORTANT FOR THOSE CLUBS WITH INTENSE PROBLEMS OF INSOLVENCY AND LOW FINANCIAL PERFORMANCE. THE RESULTS OF THIS STUDY DICTATE THE NECESSITY OF CORPORATE GOVERNANCE PRINCIPLES FOR PROTECTING THE INTERESTS OF SHAREHOLDERS AND VARIOUS STAKEHOLDERS AND FOR MAXIMIZING THE CLUBS' ECONOMIC RESULTS AND SOCIAL RETURN. THE EMPIRICAL FINDINGS ARE ROBUST TO SEVERAL SENSITIVITY TESTS CONCERNING THE SPECIFICATION OF THE MODELS AND THE MEASURES OF FINANCIAL PERFORMANCE."
"PITTS JD, 2012, J SPORT ECON";"DESPITE THE FINANCIAL AND CULTURAL IMPORTANCE OF INTERCOLLEGIATE ATHLETICS IN THE UNITED STATES, THERE IS A PAUCITY OF RESEARCH INTO HOW ATHLETIC SCHOLARSHIPS ARE AWARDED. IN THIS ARTICLE, THE AUTHORS EMPIRICALLY EXAMINE THE FACTORS THAT UNIVERSITIES USE IN THEIR DECISION TO OFFER ATHLETIC SCHOLARSHIPS TO HIGH SCHOOL FOOTBALL PLAYERS. USING A ZERO-INFLATED NEGATIVE BINOMIAL (ZINB) MODEL, THE AUTHORS FIND A PLAYER'S WEIGHT, HEIGHT, BODY MASS INDEX (BMI), RACE, SPEED, ON-THE-FIELD PERFORMANCE, AND HIS HIGH SCHOOL TEAM'S SUCCESS OFTEN HAVE LARGE AND SIGNIFICANT IMPACTS ON THE NUMBER OF SCHOLARSHIP OFFERS HE RECEIVES. THERE IS ALSO EVIDENCE OF A NEGATIVE RELATIONSHIP BETWEEN ACADEMIC PERFORMANCE AND SCHOLARSHIP OFFERS. IN ADDITION, THE AUTHORS FIND EVIDENCE OF A SCHOLARSHIP PREMIUM FOR PLAYERS FROM FLORIDA AND TEXAS. THE RESULTS ALSO SHOW THAT RUNNING BACKS, WIDE RECEIVERS, AND DEFENSIVE BACKS APPEAR TO GENERATE THE MOST ATTENTION FROM COLLEGE FOOTBALL COACHES, OTHER THINGS EQUAL."
"DE VILLIERS A, 2012, BMC PUBLIC HEALTH";"BACKGROUND: THIS STUDY EVALUATED THE PRIMARY SCHOOL ENVIRONMENT IN TERMS OF BEING CONDUCIVE TO GOOD NUTRITION PRACTICES, SUFFICIENT PHYSICAL ACTIVITY AND PREVENTION OF NICOTINE USE, WITH THE VIEW OF PLANNING A SCHOOL-BASED HEALTH INTERVENTION. METHODS: A SAMPLE OF 100 URBAN AND RURAL DISADVANTAGED SCHOOLS WAS RANDOMLY SELECTED FROM TWO EDUCATION DISTRICTS OF THE WESTERN CAPE EDUCATION DEPARTMENT, SOUTH AFRICA. A SITUATION ANALYSIS, WHICH COMPRISED AN INTERVIEW WITH THE SCHOOL PRINCIPAL AND COMPLETION OF AN OBSERVATION SCHEDULE OF THE SCHOOL ENVIRONMENT, WAS DONE AT ALL SCHOOLS. RESULTS: SCHOOLS, ON AVERAGE, HAD 560 LEARNERS AND 16 EDUCATORS. PRINCIPALS PERCEIVED THE TOP HEALTH PRIORITIES FOR LEARNERS TO BE AN UNHEALTHY DIET (50\%) AND TO FAR LESSER DEGREE, LACK OF PHYSICAL ACTIVITY (24\%) AND UNDERWEIGHT (16\%). THEY CITED LACK OF PHYSICAL ACTIVITY (33\%) AND NON-COMMUNICABLE DISEASES (NCDS; 24\%) AS THE MAIN HEALTH PRIORITIES FOR EDUCATORS, WHILE SUBSTANCE ABUSE (66\%) AND TOBACCO USE (31\%) WERE PRIORITISED FOR PARENTS. MAIN BARRIERS TO HEALTH PROMOTION PROGRAMMES INCLUDED LACK OF FINANCIAL RESOURCES AND TOO LITTLE TIME IN THE TIME TABLE. THE MOST COMMON ITEMS SOLD AT THE SCHOOL TUCK SHOPS WERE CRISPS (100\%), AND THEN SWEETS (96\%), WHILE VENDORS MAINLY SOLD SWEETS (92\%), CRISPS (89\%), AND ICE LOLLIES (38\%). VERY FEW SCHOOLS (8\%) HAD POLICIES GOVERNING THE TYPE OF FOOD ITEMS SOLD AT SCHOOL. TWENTY-SIX OF THE 100 SCHOOLS THAT WERE VISITED HAD VEGETABLE GARDENS. ALL SCHOOLS REPORTED HAVING PHYSICAL ACTIVITY AND PHYSICAL EDUCATION IN THEIR TIME TABLES, HOWEVER, NOT ALL OF THEM OFFERED THIS ACTIVITY OUTSIDE THE CLASS ROOM. EXTRAMURAL SPORT OFFERED AT SCHOOLS MAINLY INCLUDED ATHLETICS, NETBALL, AND RUGBY, WITH CRICKET AND SOCCER BEING OFFERED LESS FREQUENTLY. CONCLUSION: THE FORMATIVE FINDINGS OF THIS STUDY CONTRIBUTE TO THE KNOWLEDGE OF KEY ENVIRONMENTAL AND POLICY DETERMINANTS THAT MAY PLAY A ROLE IN THE HEALTH BEHAVIOUR OF LEARNERS, THEIR PARENTS AND THEIR EDUCATORS. EVIDENTLY, THESE SHOW THAT SCHOOL ENVIRONMENTS ARE NOT ALWAYS CONDUCIVE TO HEALTHY LIFESTYLES. TO ADDRESS THE IDENTIFIED DETERMINANTS RELATING TO LEARNERS IT IS NECESSARY TO INTERVENE ON THE VARIOUS LEVELS OF INFLUENCE, I.E. PARENTS, EDUCATORS, AND THE SUPPORT SYSTEMS FOR THE SCHOOL ENVIRONMENT INCLUDING THE CURRICULUM, FOOD AVAILABLE AT SCHOOL, RESOURCES FOR PHYSICAL ACTIVITY AS WELL AS APPROPRIATE POLICIES IN THIS REGARD."
"RASCHER DA, 2012, J SPORT ECON";"ONE OF THE ABSOLUTES IN PROFESSIONAL SPORTS, AND A REASON FOR ITS SUCCESS, IS THE UNCERTAINTY OF THE OUTCOME OF INDIVIDUAL GAMES, SEASONS, AND CHAMPIONSHIPS. THIS UNCERTAINTY IMPACTS A TEAM'S ATTENDANCE AND FINANCIAL OPERATION. WHILE LEAGUES CULTIVATE UNCERTAINTY THROUGH VARIOUS RULES SUCH AS SALARY CAPS, REVENUE SHARING, AND THE AMATEUR DRAFT, INDIVIDUAL FRANCHISES HAVE TO MANAGE THE RESULT OF VARIABILITY IN ANNUAL REVENUES. NOT ONLY IS THIS DUE TO THE PARITY IN A LEAGUE BUT ALSO FROM INJURIES AND CHANGES IN PLAYER QUALITY THAT ARE UNEXPECTED. WHETHER UNCERTAINTY OR WINNING OR THE PERFECT COMBINATION OF THE TWO, SOME ASPECTS THAT AFFECT REVENUES CAN BE CONTROLLED BY TEAM MANAGEMENT MORE SO THAN OTHERS. EVEN THOUGH ON-THE-FIELD SUCCESS IS NOT EASILY CONTROLLED BY TEAM MANAGEMENT, THE OVERALL QUALITY OF THE EXPERIENCE CAN BE IMPACTED FROM, AMONG OTHER THINGS, A QUALITY STADIUM WITH COMFORTABLE SEATING AND DELECTABLE FOOD. THIS RESEARCH SHOWS THAT THE VARIABILITY IN ANNUAL TEAM REVENUES DECREASES (RELATIVE TO TOTAL REVENUES) ONCE A TEAM MOVES INTO A NEW STADIUM, ALL ELSE EQUAL. THE INCREASE IN PREDICTABILITY LOWERS FINANCIAL RISK, IMPACTING THE COST OF FINANCING AND OTHER PRACTICAL OPERATIONAL ISSUES LIKE GAME-DAY STAFFING."
"RAMCHANDANI G, 2012, INT J PERFORM ANAL SPORT";"THIS PAPER EXAMINES THE STATE OF COMPETITIVENESS IN TOP DIVISION FOOTBALL LEAGUES IN TEN EUROPEAN COUNTRIES. POTENTIAL FACTORS THAT MIGHT AFFECT, OR BE INFLUENCED BY, COMPETITIVE BALANCE ARE ALSO EXPLORED. USING ALTERNATIVE INDICATORS OF COMPETITIVE BALANCE, THE RESEARCH FOUND THAT WITH THE PASSAGE OF TIME THE ENGLISH PREMIER LEAGUE HAS BECOME LESS COMPETITIVE, WHICH COINCIDES WITH THE GROWING INCIDENCE OF OVERSEAS INVESTMENT IN ENGLISH CLUBS. THE FRENCH LIGUE 1 EMERGED AS THE MOST COMPETITIVE LEAGUE (OUT OF TEN) IN EUROPE ON MOST INDICATORS IN 2010, WHEREAS THE DUTCH EREDIVISE WAS THE LEAST BALANCED. FURTHER INVESTIGATION REVEALED A STRONG STATISTICALLY SIGNIFICANT RELATIONSHIP BETWEEN LEAGUE COMPETITIVENESS AND LEAGUE SIZE (NUMBER OF CLUBS) AND A MODERATELY STRONG, ALBEIT INSIGNIFICANT, EFFECT OF A LEAGUE'S COMPETITIVE BALANCE ON ITS POPULARITY (ATTENDANCE). HOWEVER, THE LINK BETWEEN COMPETITIVENESS AND THE PERCEIVED QUALITY OF COUNTRIES' FOOTBALL LEAGUES (AS PER UEFA ASSOCIATION RANKINGS) WAS RELATIVELY MODEST AND INSIGNIFICANT. THE FINDINGS PROVIDE A USEFUL BASELINE FOR EXAMINING THE EFFECT OF UEFA'S FINANCIAL FAIR PLAY REGULATIONS ON THE COMPETITIVENESS OF FOOTBALL LEAGUES ACROSS KEY EUROPEAN MARKETS IN THE YEARS TO COME."
"CHANG SC, 2012, J EMPIR FINANC";"WE UNDERTAKE A FIRM-LEVEL ANALYSIS OF THE RELATION BETWEEN NATIONAL FOOTBALL LEAGUE (NFL) GAME OUTCOMES AND THE RETURN PATTERNS OF NASDAQ FIRMS HEADQUARTERED GEOGRAPHICALLY NEAR THE NFL TEAMS. WE FIND THAT A TEAM'S LOSS LEADS TO LOWER NEXT-DAY RETURNS FOR LOCALLY HEADQUARTERED STOCKS AND THAT THIS IMPACT INCREASES FOR A SURPRISING LOSS OR A CRITICAL GAME LOSS. THE NEGATIVE EFFECTS OF GAME LOSSES ARE STRONGER FOR STOCKS THAT ARE MORE VULNERABLE TO SHIFTS IN SPORTS SENTIMENT. OUR RESULTS SUGGEST THAT THE GAME OUTCOMES OF LOCAL SPORTS TEAMS INFLUENCE INVESTOR SENTIMENT, WHICH SIGNIFICANTLY AFFECTS THE RETURNS OF LOCALIZED TRADING STOCKS. (C) 2012 ELSEVIER B.V. ALL RIGHTS RESERVED."
"FRICK B, 2012, JAHRB NATL OKON STAT";"DUE TO THEIR LIMITED FINANCIAL RESOURCES WINNING THE NATIONAL CHAMPIONSHIP OR QUALIFYING FOR AN INTERNATIONAL CUP COMPETITION IS NOT A VIABLE OPTION FOR MOST SMALL MARKET CLUBS IN ANY OF THE EUROPEAN PROFESSIONAL TEAM SPORTS LEAGUES, SUCH AS SOCCER, ICE HOCKEY, BASKETBALL OR HANDBALL. HOWEVER, SINCE A PARTICULARLY POOR PERFORMANCE IS USUALLY PUNISHED BY RELEGATION AND SINCE BEING RELEGATED TO THE RESPECTIVE SECOND DIVISION IS ASSOCIATED WITH A DRAMATIC DECLINE IN REVENUES, AVOIDING RELEGATION IS A TARGET IN ITSELF. USING DATA FROM SEVEN DIFFERENT PROFESSIONAL TEAM SPORTS LEAGUES IN FOUR DIFFERENT COUNTRIES WE ESTIMATE VARIOUS PARAMETRIC AND SEMI-PARAMETRIC REGRESSION MODELS TO IDENTIFY THE DETERMINANTS OF THE CLUBS' LENGTH OF STAY IN THEIR RESPECTIVE FIRST DIVISION. IN LINE WITH THE ORGANIZATIONAL ECOLOGY LITERATURE WE FIND THAT CLUB EXPERIENCE, PREVIOUS CLUB PERFORMANCE (NUMBER OF PREVIOUS CHAMPIONSHIP TITLES AND NUMBER OF PREVIOUS RELEGATIONS) AND MARKET SIZE (AVERAGE ATTENDANCE) AFFECT SURVIVAL IN A STATISTICALLY SIGNIFICANT AND ECONOMICALLY RELEVANT SENSE. PERHAPS SURPRISINGLY, FOUNDING CONDITIONS SEEM TO BE IRRELEVANT FOR A CLUB'S LENGTH OF STAY IN ITS RESPECTIVE FIRST DIVISION."
"HONG E, 2012, J SPORT SOC ISSUES";"THE YEAR 2010 IS CONSIDERED SOUTH KOREAN WOMEN'S FOOTBALL'S GREATEST YEAR, WITH OUTSTANDING RESULTS IN TWO INTERNATIONAL FEDERATION OF FOOTBALL ASSOCIATIONS (FIFA) TOURNAMENTS. NORTH KOREA HAS ALSO DISPLAYED EXCELLENCE IN WOMEN'S FOOTBALL DURING THE PAST 20 YEARS. THIS STUDY, THEREFORE, INVESTIGATES AND COMPARES THE FACTORS INVOLVED IN THE SUCCESS OF KOREAN WOMEN'S FOOTBALL. IT FINDS THAT THE SOUTH KOREAN GOVERNMENT'S INTEREST IN WOMEN'S FOOTBALL HAS BEEN ERRATIC, BUT NORTH KOREA PRIORITIZED WOMEN'S FOOTBALL AND PROVIDED IT FULL SUPPORT; THAT MEMBERS OF SUCCESSFUL SOUTH KOREAN TEAMS RECEIVE SMALL FINANCIAL REWARDS, WHILE NORTH KOREAN PLAYERS RECEIVE DECORATIONS AND SIGNIFICANT MATERIAL REWARDS, AND THAT ALTHOUGH SOUTH KOREA ESTABLISHED A SYSTEMATIC TALENT IDENTIFICATION AND TRAINING SYSTEM IN 2002, NORTH KOREA INITIATED THIS PROCESS MORE THAN A DECADE EARLIER."
"MUELLER JC, 2012, INT J SPORT FINANC";"IN RESPONSE TO THE SEVERE FINANCIAL PLIGHT OF MANY CLUBS THAT REGULARLY TAKE PART IN EUROPEAN COMPETITIONS, UEFA DEVELOPED THE CONCEPT OF FINANCIAL FAIR PLAY AS AN EXTENSION OF ITS LICENSING REGULATIONS. THE AIM OF THE CONCEPT IS TO CURTAIL FINANCIAL FOUL PLAY IN EUROPEAN FOOTBALL (NONPAYMENT OF LIABILITIES OWING TO RIVAL CLUBS OR EMPLOYEES) AND FINANCIAL DOPING (EXCESSIVE FUNDING PROVIDED TO COVER LOSSES ARISING FROM EXPENSES FOR PLAYING TALENT NOT BALANCED BY REVENUES). THE PAPER ADDRESSES THE QUESTION IF THE FINANCIAL FAIR PLAY IS AN ADEQUATE CONCEPT TO ENSURE THE LONG-TERM VIABILITY AND SUSTAINABILITY OF EUROPEAN CLUB FOOTBALL AS INTENDED BY UEFA. TO ANSWER THIS QUESTION, WE ILLUSTRATE THE EMPIRICAL BACKGROUND AND SEARCH FOR A THEORETICAL JUSTIFICATION WITHIN THE FIELD OF SPORT ECONOMICS. BASED ON STRUCTURING UEFA'S OBJECTIVES, WE ANALYZE AND EVALUATE THE MAJOR AMENDMENTS OF THE FINANCIAL FAIR PLAY REGULATIONS."
"ROBBINS DW, 2012, J STRENGTH COND RES";"ROBBINS, DW. THE NORMALIZATION OF EXPLOSIVE FUNCTIONAL MOVEMENTS IN A DIVERSE POPULATION OF ELITE AMERICAN FOOTBALL PLAYERS. J STRENGTH COND RES 26(4): 995-1000, 2012-THE OBJECTIVE OF THIS STUDY WAS TO INVESTIGATE THE NEED TO NORMALIZE, FOR BODY MASS, EXPLOSIVE FUNCTIONAL TASKS IN A POPULATION EXHIBITING DIVERSE BODY MASSES. MEASURES INVESTIGATED IN ELITE COLLEGE AMERICAN FOOTBALL PLAYERS ATTENDING THE NATIONAL FOOTBALL LEAGUE'S ANNUAL COMBINE (N = 1,136) WERE THE 9.1-, 18.3-, AND 36.6-M SPRINTS, VERTICAL AND HORIZONTAL JUMPS, 18.3-M SHUTTLE, AND 3-CONE DRILL. TO DETERMINE THE RELATIONSHIP BETWEEN BODY MASS AND PERFORMANCE OUTCOMES, PEARSON'S CORRELATION COEFFICIENTS (R) WERE GENERATED USING LOG-TRANSFORMED DATA. TASK-SPECIFIC ALLOMETRIC EXPONENTS, ACCOUNTING FOR BODY MASS, WERE ALSO DETERMINED. THE STRENGTH OF THE CORRELATIONS SUGGESTS THAT SPRINT AND JUMP ABILITIES ARE ASSOCIATED WITH BODY MASS, WHEREAS CHANGE-OF-DIRECTION ABILITY IS NOT. THE DETERMINED ALLOMETRIC EXPONENTS RANGE BETWEEN 0.296 AND -0.463 FOR THE SPRINT AND JUMP TASKS AND ARE -0.022 AND -0.006 FOR THE 18.3-M SHUTTLE AND THE 3-CONE DRILL, RESPECTIVELY. IN POPULATIONS EXHIBITING RELATIVELY LARGE VARIATIONS IN BODY MASS, NORMALIZATION OF SPRINT AND JUMP ABILITIES IS RECOMMENDED, WHEREAS NORMALIZATION OF CHANGE-OF-DIRECTION ABILITY IS UNWARRANTED. NOVEL SUGGESTIONS DERIVED FROM THE PRESENT RESEARCH ARE THAT SPRINT AND JUMP ABILITIES IN DIVERSE POPULATIONS WARRANT NORMALIZATION AND THAT PHYSICAL ATTRIBUTES ASSOCIATED WITH EXPLOSIVE FUNCTIONAL MOVEMENTS DESERVE ATTRIBUTE-SPECIFIC CONSIDERATION WHEN CONTEMPLATING NORMALIZATION."
